,sepal length (cm),sepal width (cm),petal length (cm),petal width (cm),species
virginica_37,6.3,3.4,5.6,2.4,virginica
virginica_38,6.4,3.1,5.5,1.8,virginica
virginica_39,6.0,3.0,4.8,1.8,virginica
virginica_40,6.9,3.1,5.4,2.1,virginica
virginica_41,6.7,3.1,5.6,2.4,virginica
virginica_42,6.9,3.1,5.1,2.3,virginica
virginica_43,5.8,2.7,5.1,1.9,virginica
virginica_44,6.8,3.2,5.9,2.3,virginica
virginica_45,6.7,3.3,5.7,2.5,virginica
virginica_46,6.7,3.0,5.2,2.3,virginica
virginica_47,6.3,2.5,5.0,1.9,virginica
virginica_48,6.5,3.0,5.2,2.0,virginica
virginica_49,6.2,3.4,5.4,2.3,virginica
virginica_50,5.9,3.0,5.1,1.8,virginica
