;Ap;Høyre;Frp;SV;Sp;KrF;Venstre;MDG;Rødt;Andre
Oktober '17;26,1 (48);26,5 (49);13,9 (26);6,6 (12);10,5 (19);3,8 (3);4,3 (8);3,7 (3);2,8 (1);1,5 (0)
September '17;26,9 (49);24,4 (44);14,6 (26);6,1 (11);10,2 (19);4,4 (8);4,2 (8);3,9 (3);3,3 (1);1,8 (0)
August '17;27,9 (53);23,8 (42);14,5 (26);5,6 (10);10,7 (19);4,8 (9);3,6 (2);4,0 (7);3,0 (1);2,0 (0)
Juli '17;32,1 (58);22,0 (40);13,3 (24);4,6 (8);11,4 (21);4,9 (9);3,4 (2);4,0 (7);2,3 (0);2,2 (0)
Juni '17;31,7 (58);23,1 (43);13,4 (25);4,3 (8);12,1 (22);4,5 (8);3,3 (2);3,2 (3);2,4 (0);2,1 (0)
Mai '17;31,8 (58);23,5 (43);13,0 (24);4,2 (8);12,3 (23);4,7 (9);3,2 (2);2,8 (1);2,6 (1);1,8 (0)
April '17;31,7 (58);23,3 (43);12,8 (24);4,6 (8);12,3 (23);4,8 (9);3,7 (3);2,7 (1);2,3 (0);1,7 (0)
Mars '17;32,5 (60);23,3 (43);12,6 (23);4,4 (8);11,6 (22);5,0 (9);3,9 (3);2,7 (1);2,4 (0);1,7 (0)
Februar '17;33,1 (61);23,4 (43);14,0 (26);4,1 (8);9,8 (18);4,9 (9);4,0 (3);2,8 (1);2,1 (0);1,7 (0)
Januar '17;35,5 (64);23,4 (41);13,9 (25);4,3 (8);7,8 (14);5,2 (9);4,0 (7);2,5 (1);2,1 (0);1,3 (0)
Desember '16;36,1 (66);23,1 (41);14,0 (25);4,3 (8);7,1 (12);4,8 (9);4,0 (7);2,8 (1);1,9 (0);1,7 (0)
November '16;36,3 (70);23,8 (41);12,5 (21);4,3 (7);7,0 (12);5,1 (9);4,6 (8);2,9 (1);2,0 (0);1,6 (0)
Oktober '16;36,6 (70);24,5 (44);13,5 (24);3,8 (2);6,7 (12);4,5 (8);4,3 (8);2,6 (1);1,8 (0);1,5 (0)
September '16;34,6 (64);24,8 (44);14,5 (26);4,1 (7);7,1 (12);4,8 (8);4,3 (7);2,7 (1);1,7 (0);1,4 (0)
August '16;35,4 (65);24,8 (46);14,4 (26);3,8 (1);6,5 (12);4,7 (9);4,1 (8);3,1 (2);1,5 (0);1,6 (0)
Juli '16;31,3 (59);25,4 (45);15,0 (27);4,2 (7);7,4 (13);5,1 (9);4,6 (8);2,8 (1);2,4 (0);0,6 (0)
Juni '16;34,1 (61);23,3 (41);15,9 (29);4,4 (8);6,2 (11);5,0 (9);4,3 (8);3,5 (2);1,7 (0);1,4 (0)
Mai '16;33,6 (61);23,9 (42);15,5 (29);4,0 (7);6,6 (11);5,3 (9);4,4 (8);3,1 (2);2,1 (0);1,2 (0)
April '16;33,8 (61);23,7 (42);16,4 (29);4,2 (7);6,1 (11);5,3 (9);4,5 (8);3,2 (2);1,5 (0);1,3 (0)
Mars '16;32,5 (59);25,2 (46);16,7 (31);3,9 (3);6,2 (11);4,8 (9);4,5 (8);3,2 (2);1,9 (0);1,1 (0)
Februar '16;33,0 (61);24,1 (43);16,7 (29);4,2 (7);5,7 (10);5,2 (9);4,2 (7);3,8 (3);2,0 (0);1,2 (0)
Januar '16;32,7 (60);24,2 (43);16,4 (29);4,0 (7);5,9 (10);4,8 (9);4,5 (8);4,0 (3);2,0 (0);1,3 (0)
Desember '15;34,0 (61);22,0 (40);17,5 (32);3,7 (1);6,0 (11);5,0 (9);4,1 (7);4,3 (8);1,9 (0);1,3 (0)
November '15;35,1 (64);22,0 (39);16,3 (29);3,9 (2);6,1 (11);4,9 (9);4,3 (8);4,1 (7);2,0 (0);1,4 (0)
Oktober '15;36,4 (67);22,9 (39);12,0 (20);4,2 (7);6,6 (11);5,5 (9);5,2 (9);4,2 (7);1,8 (0);1,1 (0)
September '15;35,6 (67);23,3 (39);12,2 (20);4,1 (7);6,3 (10);5,7 (9);5,2 (9);4,8 (8);1,4 (0);1,1 (0)
August '15;36,3 (70);23,8 (41);12,7 (22);4,0 (2);5,8 (10);4,9 (8);4,5 (8);4,7 (8);1,7 (0);1,7 (0)
Juli '15;37,6 (71);22,7 (39);12,8 (21);4,3 (7);5,1 (8);5,1 (8);4,6 (8);4,3 (7);1,7 (0);1,8 (0)
Juni '15;39,0 (72);22,5 (39);12,3 (22);3,5 (1);5,7 (10);5,4 (9);4,5 (8);4,4 (8);1,5 (0);1,2 (0)
Mai '15;38,0 (71);24,0 (42);12,0 (21);3,6 (1);5,8 (10);5,2 (9);4,6 (8);4,1 (7);1,5 (0);1,4 (0)
April '15;39,5 (74);23,0 (42);11,0 (20);3,6 (1);5,6 (10);5,7 (10);4,9 (9);4,0 (3);1,4 (0);1,0 (0)
Mars '15;41,4 (77);22,7 (41);10,4 (19);3,6 (1);5,8 (11);5,5 (10);4,5 (8);3,2 (2);1,5 (0);1,0 (0)
Februar '15;41,9 (76);21,3 (39);11,2 (20);3,9 (2);5,7 (10);5,3 (10);4,7 (9);3,6 (3);1,4 (0);1,1 (0)
Januar '15;41,5 (77);22,6 (41);11,3 (20);3,7 (2);5,4 (10);5,3 (9);4,6 (8);3,4 (2);1,2 (0);1,1 (0)
Desember '14;41,4 (76);22,5 (40);11,3 (20);3,8 (2);5,2 (9);5,4 (10);4,7 (9);3,5 (3);1,3 (0);0,9 (0)
November '14;40,2 (74);22,6 (41);11,5 (21);3,9 (1);5,3 (10);5,9 (11);4,7 (8);3,5 (3);1,4 (0);1,0 (0)
Oktober '14;37,3 (70);25,2 (46);13,5 (24);3,6 (1);5,2 (9);4,7 (9);4,6 (8);3,6 (2);1,3 (0);1,1 (0)
September '14;35,0 (65);26,6 (48);14,1 (26);3,6 (1);5,0 (9);5,1 (9);4,8 (9);3,5 (2);1,2 (0);1,0 (0)
August '14;34,5 (63);26,9 (49);13,9 (26);3,9 (1);5,2 (9);5,1 (9);4,7 (9);3,7 (3);1,2 (0);1,2 (0)
Juli '14;36,3 (68);26,8 (48);12,3 (22);3,0 (1);5,3 (10);4,6 (8);5,3 (9);3,6 (3);1,5 (0);1,2 (0)
Juni '14;35,0 (64);26,3 (48);13,8 (25);3,5 (1);5,3 (10);5,2 (9);4,8 (9);3,6 (3);1,3 (0);1,3 (0)
Mai '14;33,9 (61);26,9 (47);13,7 (25);4,0 (7);5,1 (9);5,3 (9);5,2 (9);3,4 (2);1,3 (0);1,2 (0)
April '14;34,2 (65);27,5 (50);14,0 (25);3,7 (1);4,5 (8);5,4 (10);5,3 (9);3,0 (1);1,3 (0);1,3 (0)
Mars '14;34,6 (65);26,9 (48);14,3 (26);3,8 (1);4,9 (9);5,0 (9);5,1 (9);3,1 (2);1,4 (0);1,1 (0)
Februar '14;33,8 (62);28,7 (52);13,3 (24);3,9 (2);4,9 (9);5,3 (10);4,8 (9);3,0 (1);1,2 (0);1,1 (0)
Januar '14;33,5 (62);29,1 (52);13,6 (25);3,9 (2);4,5 (8);5,3 (10);4,7 (9);3,1 (1);1,2 (0);1,2 (0)
Desember '13;33,3 (62);27,8 (50);14,2 (26);3,9 (2);4,8 (9);5,4 (10);5,2 (9);2,9 (1);1,2 (0);1,3 (0)
November '13;32,2 (59);27,9 (48);14,5 (26);4,0 (7);5,0 (9);5,4 (9);5,4 (9);3,3 (2);1,2 (0);1,1 (0)
Oktober '13;31,9 (59);27,8 (48);14,6 (26);4,1 (7);4,7 (8);5,5 (10);5,6 (10);3,2 (1);1,3 (0);1,3 (0)
September '13;29,7 (52);27,0 (48);15,9 (29);4,8 (9);5,1 (9);6,0 (11);5,5 (10);3,2 (1);1,4 (0);1,4 (0)
August '13;29,0 (52);28,9 (52);15,2 (27);4,3 (8);5,3 (9);5,4 (10);5,3 (9);3,5 (2);1,5 (0);1,5 (0)
Juli '13;28,0 (51);31,6 (58);16,2 (30);3,9 (2);4,6 (8);5,2 (9);5,2 (10);2,3 (1);1,9 (0);1,2 (0)
Juni '13;28,6 (51);32,0 (56);16,4 (30);4,3 (8);4,5 (8);5,3 (9);4,2 (7);1,5 (0);1,5 (0);1,5 (0)
Mai '13;28,9 (51);31,8 (55);16,0 (30);4,7 (8);4,5 (8);5,3 (9);4,7 (8);1,4 (0);1,5 (0);1,3 (0)
April '13;27,7 (48);32,6 (56);16,5 (31);5,0 (9);4,8 (8);5,1 (9);4,5 (8);1,0 (0);1,5 (0);1,4 (0)
Mars '13;28,1 (49);32,4 (56);16,8 (31);4,4 (8);4,8 (8);5,2 (9);4,7 (8);1,0 (0);1,4 (0);1,1 (0)
Februar '13;28,4 (49);32,9 (57);15,6 (30);4,9 (8);4,7 (8);5,3 (9);4,5 (8);0,9 (0);1,4 (0);1,3 (0)
Januar '13;28,6 (50);33,6 (58);15,9 (30);4,1 (7);4,4 (8);5,5 (9);4,4 (7);0,6 (0);1,4 (0);1,3 (0)
Desember '12;28,6 (51);32,0 (55);16,2 (30);4,3 (7);4,7 (8);5,3 (9);5,2 (9);0,6 (0);1,8 (0);1,2 (0)
November '12;29,6 (52);31,4 (54);17,0 (30);4,4 (8);4,5 (8);5,0 (9);4,9 (8);0,3 (0);1,5 (0);1,2 (0)
Oktober '12;27,8 (49);33,9 (58);17,2 (31);4,1 (7);4,4 (7);5,0 (9);4,5 (8);0,5 (0);1,4 (0);1,3 (0)
September '12;29,2 (54);33,5 (62);16,6 (31);3,9 (1);4,3 (8);5,2 (10);3,9 (3);0,6 (0);1,8 (0);1,0 (0)
August '12;30,2 (54);31,6 (57);17,3 (31);4,0 (3);4,4 (8);4,6 (8);4,7 (8);0,2 (0);1,7 (0);1,3 (0)
Juli '12;29,8 (54);30,5 (55);18,4 (33);3,9 (1);4,8 (9);5,0 (9);4,4 (8);0,2 (0);1,2 (0);1,5 (0)
Juni '12;29,9 (54);32,0 (55);16,2 (29);4,3 (7);4,7 (8);4,7 (8);4,8 (8);0,1 (0);1,5 (0);1,8 (0)
Mai '12;30,8 (54);30,9 (54);16,0 (29);4,2 (7);4,6 (8);5,1 (9);4,7 (8);0,2 (0);1,5 (0);1,9 (0)
April '12;30,5 (54);29,4 (50);17,3 (31);4,5 (7);5,1 (9);5,1 (9);5,2 (9);0,2 (0);1,4 (0);1,4 (0)
Mars '12;32,9 (60);27,9 (47);16,3 (28);4,5 (8);5,3 (9);5,4 (9);4,6 (8);0,2 (0);1,3 (0);1,7 (0)
Februar '12;34,4 (61);27,9 (48);14,4 (25);4,8 (8);5,1 (9);5,1 (9);5,3 (9);0,0 (0);1,3 (0);1,6 (0)
Januar '12;34,7 (63);29,3 (50);13,7 (24);4,1 (7);5,0 (8);5,3 (9);4,9 (8);0,0 (0);1,7 (0);1,3 (0)
Desember '11;32,7 (57);29,6 (52);15,0 (26);4,2 (7);5,2 (9);5,4 (9);5,1 (9);0,0 (0);1,3 (0);1,6 (0)
November '11;32,7 (57);29,1 (51);15,2 (26);4,4 (8);5,3 (9);5,1 (9);5,2 (9);0,0 (0);1,5 (0);1,5 (0)
Oktober '11;33,9 (62);29,3 (50);13,8 (24);4,5 (8);4,6 (8);5,3 (9);4,9 (8);0,0 (0);1,7 (0);1,8 (0)
September '11;34,0 (61);27,1 (46);16,5 (29);4,3 (7);5,2 (9);4,7 (8);5,4 (9);0,0 (0);1,6 (0);1,4 (0)
August '11;38,4 (69);22,5 (38);17,2 (30);5,3 (9);4,5 (7);5,1 (9);4,1 (7);0,0 (0);1,5 (0);1,2 (0)
Juli '11;31,2 (55);27,0 (45);19,7 (37);5,5 (9);4,5 (8);4,9 (8);4,4 (7);0,0 (0);1,3 (0);1,1 (0)
Juni '11;29,1 (53);29,0 (49);19,1 (33);5,2 (9);5,0 (9);5,4 (9);4,3 (7);0,0 (0);1,6 (0);1,2 (0)
Mai '11;29,9 (53);27,3 (46);19,2 (36);5,6 (9);5,1 (8);4,9 (8);5,3 (9);0,0 (0);1,6 (0);1,1 (0)
April '11;29,3 (52);27,0 (46);18,9 (35);5,8 (10);5,3 (9);5,0 (8);5,3 (9);0,0 (0);1,6 (0);1,7 (0)
Mars '11;28,2 (51);27,2 (45);22,2 (41);6,0 (10);4,9 (8);4,4 (7);4,1 (7);0,0 (0);1,6 (0);1,3 (0)
Februar '11;27,7 (51);26,2 (43);23,2 (42);5,7 (9);4,9 (8);4,8 (8);4,8 (8);0,0 (0);1,5 (0);1,2 (0)
Januar '11;27,5 (50);26,3 (44);23,8 (43);5,5 (9);4,9 (8);4,6 (8);4,3 (7);0,0 (0);1,5 (0);1,5 (0)
Desember '10;26,1 (47);26,1 (44);25,3 (45);5,8 (10);4,9 (8);4,7 (8);4,2 (7);0,0 (0);1,5 (0);1,4 (0)
November '10;27,7 (50);26,2 (44);24,1 (43);5,5 (9);4,9 (8);4,6 (8);4,4 (7);0,0 (0);1,5 (0);1,0 (0)
Oktober '10;28,9 (51);26,1 (45);23,6 (42);5,4 (9);4,7 (8);4,3 (7);4,1 (7);0,0 (0);1,6 (0);1,3 (0)
